,Date,Open*,High,Low,Close**,Volume,Market Cap
318,"Dec 24, 2017",14608.2,14626.0,12747.7,13925.8,11572299776,233414163395
319,"Dec 23, 2017",13948.7,15603.2,13828.8,14699.2,13086000128,246349213910
320,"Dec 22, 2017",15898.0,15943.4,11833.0,13831.8,22197999616,231788283457
321,"Dec 21, 2017",16642.4,17567.7,15342.7,15802.9,16516599808,264788651530
322,"Dec 20, 2017",17760.3,17934.7,16077.7,16624.6,22149699584,278528964015
323,"Dec 19, 2017",19118.3,19177.8,17275.4,17776.7,16894499840,297801055828
324,"Dec 18, 2017",19106.4,19371.0,18355.9,19114.2,14839499776,320174318520
325,"Dec 17, 2017",19475.8,20089.0,18974.1,19140.8,13314599936,320576568850
326,"Dec 16, 2017",17760.3,19716.7,17515.3,19497.4,12740599808,326502485530
327,"Dec 15, 2017",16601.3,18154.1,16601.3,17706.9,14309999616,296482120238
328,"Dec 14, 2017",16384.6,17085.8,16185.9,16564.0,13777399808,277310347000
329,"Dec 13, 2017",17500.0,17653.1,16039.7,16408.2,12976900096,274663619978
330,"Dec 12, 2017",16919.8,17781.8,16571.6,17415.4,14603799552,291483935710
331,"Dec 11, 2017",15427.4,17513.9,15404.8,16936.8,12153900032,283439888520
332,"Dec 10, 2017",15168.4,15850.6,13226.6,15455.4,13433299968,258615393665
333,"Dec 09, 2017",16523.3,16783.0,13674.9,15178.2,13911300096,253946084745
334,"Dec 08, 2017",17802.9,18353.4,14336.9,16569.4,21135998976,277185764485
335,"Dec 07, 2017",14266.1,17899.7,14057.3,17899.7,17950699520,299405364249
336,"Dec 06, 2017",11923.4,14369.1,11923.4,14291.5,12656300032,239024437136
337,"Dec 05, 2017",11685.7,12032.0,11604.6,11916.7,6895260160,199278350420
338,"Dec 04, 2017",11315.4,11657.2,11081.8,11657.2,6132409856,194912755450
339,"Dec 03, 2017",11082.7,11858.7,10862.0,11323.2,6608309760,189302389920
340,"Dec 02, 2017",10978.3,11320.2,10905.1,11074.6,5138500096,185122039035
341,"Dec 01, 2017",10198.6,11046.7,9694.65,10975.6,6783119872,183444663767
342,"Nov 30, 2017",9906.79,10801.0,9202.05,10233.6,8310689792,171020085600
343,"Nov 29, 2017",10077.4,11517.4,9601.03,9888.61,11568799744,165233728795
344,"Nov 28, 2017",9823.43,10125.7,9736.3,10058.8,6348819968,168056012886
345,"Nov 27, 2017",9352.72,9818.35,9352.72,9818.35,5653320192,164019464090
346,"Nov 26, 2017",8789.04,9522.93,8775.59,9330.55,5475579904,155850742551
347,"Nov 25, 2017",8241.71,8790.92,8191.15,8790.92,4342060032,146820557006
348,"Nov 24, 2017",8074.02,8374.16,7940.93,8253.69,5058610176,137831976173
349,"Nov 23, 2017",8232.38,8267.4,8038.77,8038.77,4225179904,134227860479
350,"Nov 22, 2017",8077.95,8302.26,8075.47,8253.55,3633530112,137797862084
351,"Nov 21, 2017",8205.74,8348.66,7762.71,8071.26,4277609984,134739693480
352,"Nov 20, 2017",8039.07,8336.86,7949.36,8200.64,3488450048,136881802624
353,"Nov 19, 2017",7766.03,8101.91,7694.1,8036.49,3149319936,134124196206
354,"Nov 18, 2017",7697.21,7884.99,7463.44,7790.15,3667190016,129997247838
355,"Nov 17, 2017",7853.57,8004.59,7561.09,7708.99,4651670016,128621507062
356,"Nov 16, 2017",7323.24,7967.38,7176.58,7871.69,5123809792,131328418537
357,"Nov 15, 2017",6634.76,7342.25,6634.76,7315.54,4200880128,122035826506
358,"Nov 14, 2017",6561.48,6764.98,6461.75,6635.75,3197110016,110683148744
359,"Nov 13, 2017",5938.25,6811.19,5844.29,6559.49,6263249920,109400650105
360,"Nov 12, 2017",6295.45,6625.05,5519.01,5950.07,8957349888,99226193603
361,"Nov 11, 2017",6618.61,6873.15,6204.22,6357.6,4908680192,106016076151
362,"Nov 10, 2017",7173.73,7312.0,6436.87,6618.14,5208249856,110354089394
363,"Nov 09, 2017",7446.83,7446.83,7101.52,7143.58,3226249984,119104730750
364,"Nov 08, 2017",7141.38,7776.42,7114.02,7459.69,4602200064,124360767999
365,"Nov 07, 2017",7023.1,7253.32,7023.1,7144.38,2326340096,119091456315
366,"Nov 06, 2017",7403.22,7445.77,7007.31,7022.76,3111899904,117050623317
367,"Nov 05, 2017",7404.52,7617.48,7333.19,7407.41,2380410112,123449206170
368,"Nov 04, 2017",7164.48,7492.86,7031.28,7379.95,2483800064,122978748805
369,"Nov 03, 2017",7087.53,7461.29,7002.94,7207.76,3369860096,120097405359
370,"Nov 02, 2017",6777.77,7367.33,6758.72,7078.5,4653770240,117933380780
371,"Nov 01, 2017",6440.97,6767.31,6377.88,6767.31,2870320128,112735345036
372,"Oct 31, 2017",6132.02,6470.43,6103.33,6468.4,2311379968,107743731291
373,"Oct 30, 2017",6114.85,6214.99,6040.85,6130.53,1772150016,102105356519
374,"Oct 29, 2017",5754.44,6255.71,5724.58,6153.85,2859040000,102482445590
375,"Oct 28, 2017",5787.82,5876.72,5689.19,5753.09,1403920000,95797359518
376,"Oct 27, 2017",5899.74,5988.39,5728.82,5780.9,1710130048,96254297360
377,"Oct 26, 2017",5747.95,5976.8,5721.22,5904.83,1905040000,98310176011
378,"Oct 25, 2017",5524.6,5754.33,5397.88,5750.8,1966989952,95732630220
379,"Oct 24, 2017",5935.52,5935.52,5504.18,5526.64,2735699968,91988225800
380,"Oct 23, 2017",6006.0,6075.59,5732.47,5930.32,2401840128,98695054084
381,"Oct 22, 2017",6036.66,6076.26,5792.34,6008.42,2034630016,99981911326
382,"Oct 21, 2017",5996.79,6194.88,5965.07,6031.6,2207099904,100353682389
383,"Oct 20, 2017",5708.11,6060.11,5627.23,6011.45,2354429952,100007083345
384,"Oct 19, 2017",5583.74,5744.35,5531.06,5708.52,1780540032,94954808115
385,"Oct 18, 2017",5603.82,5603.82,5151.44,5590.69,2399269888,92982539106
386,"Oct 17, 2017",5741.58,5800.35,5472.72,5605.51,1821570048,93218297189
387,"Oct 16, 2017",5687.57,5776.23,5544.21,5725.59,2008070016,95203392843
388,"Oct 15, 2017",5835.96,5852.48,5478.61,5678.19,1976039936,94403031755
389,"Oct 14, 2017",5643.53,5837.7,5591.64,5831.79,1669030016,96942498331
390,"Oct 13, 2017",5464.16,5840.3,5436.85,5647.21,3615480064,93864253934
391,"Oct 12, 2017",4829.58,5446.91,4822.0,5446.91,2791610112,90525666972
392,"Oct 11, 2017",4789.25,4873.73,4751.63,4826.48,1222279936,80205238020
393,"Oct 10, 2017",4776.21,4922.17,4765.1,4781.99,1597139968,79457603224
394,"Oct 09, 2017",4614.52,4878.71,4564.25,4772.02,1968739968,79282158943
395,"Oct 08, 2017",4429.67,4624.14,4405.64,4610.48,1313869952,76589293760
396,"Oct 07, 2017",4369.35,4443.88,4321.05,4426.89,906928000,73529314833
397,"Oct 06, 2017",4324.46,4413.27,4320.53,4370.81,1069939968,72589262957
398,"Oct 05, 2017",4229.88,4362.64,4164.05,4328.41,1161769984,71876277937
399,"Oct 04, 2017",4319.37,4352.31,4210.42,4229.36,1116770048,70225033578
400,"Oct 03, 2017",4408.46,4432.47,4258.89,4317.48,1288019968,71681069637
401,"Oct 02, 2017",4395.81,4470.23,4377.46,4409.32,1431730048,73195646776
402,"Oct 01, 2017",4341.05,4403.74,4269.81,4403.74,1208210048,73094870674
403,"Sep 30, 2017",4166.11,4358.43,4160.86,4338.71,1207449984,72008428789
404,"Sep 29, 2017",4171.62,4214.63,4039.29,4163.07,1367049984,69086146650
405,"Sep 28, 2017",4197.13,4279.31,4109.7,4174.73,1712320000,69270823146
406,"Sep 27, 2017",3892.94,4210.05,3884.82,4200.67,1686880000,69691950752
407,"Sep 26, 2017",3928.41,3969.89,3869.9,3892.35,1043740032,64569365079
408,"Sep 25, 2017",3681.58,3950.25,3681.58,3926.07,1374210048,65122213849
409,"Sep 24, 2017",3796.15,3796.15,3666.9,3682.84,768014976,61081971156
410,"Sep 23, 2017",3629.92,3819.21,3594.58,3792.4,928113984,62892069389
411,"Sep 22, 2017",3628.02,3758.27,3553.53,3630.7,1194829952,60203040223
412,"Sep 21, 2017",3901.47,3916.42,3613.63,3631.04,1411480064,60202370872
413,"Sep 20, 2017",3916.36,4031.39,3857.73,3905.95,1213830016,64751811835
414,"Sep 19, 2017",4073.79,4094.07,3868.87,3924.97,1563980032,65061185838
415,"Sep 18, 2017",3591.09,4079.23,3591.09,4065.2,1943209984,67377945990
416,"Sep 17, 2017",3606.28,3664.81,3445.64,3582.88,1239149952,59377995376
